datetime,ABBV,ACRS,ADMP,ADMS,AEZS,AGEN,AGIO,AGN,DERM,DOVA,DRRX,ENTA,EXEL,NEOS,NVO,NVS,ONCE,OPK,VRTX,XENT,cash,commission,total,returns,equity_curve,drawdown
2018-01-04,70483.9482,50121.68,0.0,84971.04000000001,42961.759999999995,41314.24,48741.1,41321.3724,0.0,0.0,0.0,75802.44,56891.76,0.0,52296.220199999996,0.0,54120.96000000001,0.0,0.0,53110.65,413243.62949999986,637.049,1085380.8002999998,-0.008983119205860146,1.0853808003000005,-0.009838485400000208
2018-01-05,71710.9281,51033.36,0.0,85347.24,43517.3,41196.869999999995,49706.19,41492.371499999994,0.0,0.0,0.0,75763.37999999999,56410.08,0.0,52536.162,0.0,52784.64,0.0,0.0,53110.65,413243.62949999986,637.049,1087852.8011,0.002277542406607047,1.0878528011000008,-0.00736648459999989
2018-01-08,70561.9512,52587.36,0.0,80632.2,42591.399999999994,45891.67,48919.52,41075.7237,0.0,0.0,0.0,75398.81999999999,52271.200000000004,0.0,52488.0958,0.0,52826.4,0.0,0.0,53502.9,413243.62949999986,637.049,1081990.8701999998,-0.005388533167421938,1.0819908702000005,-0.013228415500000201
2018-01-09,71093.8296,53126.08,0.0,84945.95999999999,41706.2396,45656.93,51514.72,42301.5372,0.0,0.0,0.0,76635.72,53537.840000000004,0.0,52651.2679,0.0,53755.560000000005,0.0,0.0,54208.95,413243.62949999986,637.049,1094378.2637999998,0.011448704366341156,1.0943782638000006,-0.0008410219000001273
2018-01-10,70703.8146,52670.240000000005,0.0,84168.48000000001,41665.5,45891.67,54612.740000000005,41901.7779,0.0,0.0,0.0,78093.95999999999,53502.159999999996,0.0,52584.130900000004,0.0,55185.84,0.0,0.0,53424.45,413243.62949999986,637.049,1097648.3928999999,0.002988115908520772,1.0976483929000007,-0.0
2018-01-11,70909.46549999999,52856.72,0.0,89309.88,41202.55,45539.56,58829.94,42655.563899999994,0.0,0.0,0.0,78471.54000000001,53662.719999999994,0.0,52747.30300000001,0.0,56449.08,0.0,0.0,54365.85,413243.62949999986,637.049,1110243.8018999998,0.01147490314883326,1.1102438019000007,-0.0
2018-01-12,71673.7491,51800.0,0.0,89234.64,40182.2082,45422.19,60914.21,42397.8867,0.0,0.0,0.0,79395.95999999999,54197.92,0.0,52824.072700000004,0.0,54977.03999999999,0.0,0.0,53895.15,413243.62949999986,637.049,1110158.6561999999,-7.669099332441309e-05,1.1101586562000008,-8.514569999995558e-05
2018-01-16,73209.5334,49935.200000000004,0.0,89635.92,38332.259999999995,44483.23,55796.799999999996,43026.4305,0.0,0.0,0.0,81713.52,52895.6,0.0,53083.1826,0.0,53578.08,0.0,0.0,53032.2,413243.62949999986,637.049,1101965.586,-0.007380089462207362,1.1019655860000008,-0.008278215899999886
2018-01-17,74545.2801,50556.799999999996,0.0,91893.12,44628.380000000005,46009.04,57037.63,42559.238699999994,0.0,0.0,0.0,85645.56,49042.159999999996,0.0,54138.887599999995,0.0,53797.32,0.0,0.0,53267.55,413243.62949999986,637.049,1116364.5959,0.01306666023234615,1.116364595900001,-0.0
2018-01-18,74152.42199999999,50266.72,0.0,93774.12,42221.03999999999,45774.299999999996,55269.65,43262.456399999995,0.0,0.0,0.0,85932.0,49702.24,0.0,54234.8254,0.0,52774.2,0.0,0.0,53346.0,413243.62949999986,637.049,1113953.6032999998,-0.00215968206879269,1.1139536033000008,-0.002410992600000217
